time_s,mean,std,seed0,seed1,seed2,seed3,seed4
330.25,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
330.50,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
330.75,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
331.00,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
331.25,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
331.50,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
331.75,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
332.00,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
332.25,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
332.50,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
332.75,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
333.00,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
333.25,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
333.50,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
333.75,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
334.00,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
334.25,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
334.50,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
334.75,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
335.00,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
335.25,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
335.50,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
335.75,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
336.00,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
336.25,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
336.50,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
336.75,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
337.00,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
337.25,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
337.50,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
337.75,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
338.00,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
338.25,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
338.50,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
338.75,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
339.00,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
339.25,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
339.50,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
339.75,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
340.00,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
340.25,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
340.50,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
340.75,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
341.00,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
341.25,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
341.50,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
341.75,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
342.00,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
342.25,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
342.50,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
342.75,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
343.00,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
343.25,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
343.50,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
343.75,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
344.00,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
